gene	log2FC	pvalue	padjs
Gx13512	-0.326	0.0924	0.0924
Gx17107	-0.038	0.575	0.575
Gx28324	-0.002	0.982	0.982
Gx14789	-0.286	0.0697	0.0697
Gx33726	0.077	0.209	0.209
Gx96048	0.044	0.92	0.92
Gx48792	-0.454	0.156	0.156
Gx13715	0.023	0.711	0.711
Gx19272	0.095	0.365	0.365
Gx78883	-0.01	0.857	0.857
Gx68285	-0.272	0.021	0.021
Gx53484	-0.037	0.913	0.913
Gx93727	0.875	0.00427	0.00427
Gx70755	0.025	0.722	0.722
Gx31570	-0.199	0.138	0.138
Gx20110	-0.134	0.102	0.102
Gx36179	-0.041	0.556	0.556
Gx26494	0.328	0.122	0.122
Gx69216	0.064	0.789	0.789
Gx28513	-0.089	0.285	0.285
Gx58525	-0.246	0.233	0.233
Gx51549	-0.111	0.757	0.757
Gx71422	-0.039	0.552	0.552
Gx53985	0.339	0.377	0.377
Gx64435	-0.049	0.357	0.357
Gx84201	-0.265	0.0541	0.0541
Gx22362	0.009	0.883	0.883
Gx93035	0.029	0.584	0.584
Gx32275	0.054	0.674	0.674
Gx47240	-0.294	0.346	0.346
Gx70505	-0.109	0.322	0.322
Gx44150	0.116	0.361	0.361
Gx76139	0.322	0.1	0.1
Gx20455	0.179	0.597	0.597
Gx80194	0.048	0.343	0.343
Gx11566	-0.02	0.66	0.66
Gx62279	-0.111	0.35	0.35
Gx80581	0.037	0.543	0.543
Gx24430	-0.152	0.414	0.414
Gx76460	0.213	0.264	0.264
Gx69998	0.358	0.277	0.277
Gx24508	0.101	0.18	0.18
Gx16161	0.311	0.0166	0.0166
Gx30012	0.062	0.367	0.367
Gx41949	-0.116	0.499	0.499
Gx72403	-0.011	0.857	0.857
Gx95609	-0.105	0.184	0.184
Gx98240	0.145	0.0909	0.0909
Gx19347	0.09	0.177	0.177
Gx72222	-0.078	0.47	0.47
Gx23888	0.198	0.144	0.144
Gx54111	0.05	0.858	0.858
Gx37390	0.06	0.36	0.36
Gx74639	0	0.996	0.996
Gx89725	-0.227	0.214	0.214
Gx24930	0.021	0.929	0.929
Gx20957	0.046	0.607	0.607
Gx26740	0	1	1
Gx71405	-0.63	0.0505	0.0505
Gx39758	-0.012	0.826	0.826
Gx11274	0.022	0.785	0.785
Gx47813	0.07	0.42	0.42
Gx79211	0.263	0.343	0.343
Gx69724	-0.03	0.596	0.596
Gx44798	0.171	0.176	0.176
Gx49856	0.146	0.141	0.141
Gx52217	-0.49	0.104	0.104
Gx44386	0.054	0.469	0.469
Gx53173	-0.233	0.2	0.2
Gx90294	-0.126	0.794	0.794
Gx40521	-0.204	0.0131	0.0131
Gx59847	0.019	0.711	0.711
Gx97740	-0.186	0.117	0.117
Gx17008	0.042	0.466	0.466
Gx45364	0.045	0.641	0.641
Gx57322	-0.249	0.25	0.25
Gx84536	-0.153	0.235	0.235
Gx27333	0.348	0.00105	0.00105
Gx22648	0.249	0.176	0.176
Gx28518	0.451	0.00813	0.00813
Gx59135	-0.011	0.882	0.882
Gx70415	-0.217	0.486	0.486
Gx39330	0.074	0.709	0.709
Gx30462	0.003	0.95	0.95
Gx40282	0.042	0.486	0.486
Gx30160	-0.352	0.447	0.447
Gx96263	-0.476	0.125	0.125
Gx78884	-0.366	0.204	0.204
Gx76002	-0.084	0.136	0.136
Gx85354	-0.063	0.498	0.498
Gx72357	0.027	0.669	0.669
Gx22011	0.073	0.272	0.272
Gx64890	-0.028	0.866	0.866
Gx58333	0.41	0.142	0.142
Gx25544	0.023	0.63	0.63
Gx61738	0.022	0.692	0.692
Gx82816	0.088	0.223	0.223
Gx21405	0.004	0.98	0.98
Gx63690	-0.38	0.371	0.371
Gx95451	-0.256	0.328	0.328
Gx75749	0.238	0.747	0.747
Gx71956	0.008	0.895	0.895
Gx99777	0.095	0.4	0.4
Gx48394	0.141	0.416	0.416
Gx91292	-0.095	0.299	0.299
Gx50439	0.078	0.371	0.371
Gx96001	-0.066	0.468	0.468
Gx21992	0.03	0.885	0.885
Gx86301	0.094	0.695	0.695
Gx93854	0.134	0.116	0.116
Gx59213	0.336	0.0837	0.0837
Gx88537	0.033	0.755	0.755
Gx39320	-0.058	0.383	0.383
Gx71305	-0.125	0.729	0.729
Gx61930	-0.022	0.646	0.646
Gx57323	-0.048	0.471	0.471
Gx44222	0.772	0.0404	0.0404
Gx73438	-0.01	0.82	0.82
Gx31237	0.049	0.519	0.519
Gx58117	-0.102	0.128	0.128
Gx13969	0.148	0.568	0.568
Gx95239	0.282	0.356	0.356
Gx87535	-0.256	0.0297	0.0297
Gx87085	0.02	0.897	0.897
Gx46725	-0.051	0.689	0.689
Gx40166	-0.056	0.407	0.407
Gx26235	-0.697	0.00177	0.00177
Gx73796	-0.074	0.227	0.227
Gx10514	-0.014	0.952	0.952
Gx42134	-0.03	0.691	0.691
Gx79429	-0.029	0.706	0.706
Gx37354	0.173	0.502	0.502
Gx94313	0.268	0.0101	0.0101
Gx22186	0.004	0.95	0.95
Gx99871	-0.115	0.26	0.26
Gx19216	-0.123	0.545	0.545
Gx36701	-0.014	0.822	0.822
Gx27182	-0.055	0.31	0.31
Gx95419	0.131	0.0806	0.0806
Gx36669	0.028	0.737	0.737
Corin	0.626	0.000684	0.000684
Gx72051	-0.016	0.818	0.818
Gx20241	-0.092	0.257	0.257
Gx69286	0.302	0.278	0.278
Gx25100	0.059	0.612	0.612
Gx43303	-0.042	0.432	0.432
Gx87376	0.084	0.112	0.112
Gx41171	0.37	0.0103	0.0103
Gx37387	-0.135	0.221	0.221
Gx79671	0.072	0.313	0.313
Gx80749	0.222	0.291	0.291
Gx48681	0.023	0.68	0.68
Gx63917	4.346	0.00652	0.00652
Gx56488	0.233	0.279	0.279
Gx30476	-0.184	0.0674	0.0674
Gx21888	0.071	0.327	0.327
Gx37628	0.108	0.253	0.253
Gx84715	0.093	0.616	0.616
Gx64696	-0.005	0.959	0.959
Gx80916	-0.332	0.419	0.419
Gx51080	-0.052	0.64	0.64
Gx78018	0.155	0.0675	0.0675
Gx25153	-0.264	0.119	0.119
Gx19619	0.064	0.426	0.426
Gx16475	0.15	0.192	0.192
Gx10603	-0.096	0.158	0.158
Gx58772	0.298	0.248	0.248
Gx93965	0.184	0.16	0.16
Gx93499	-0.014	0.871	0.871
Gx68434	-0.239	0.411	0.411
Gx42772	-0.002	0.984	0.984
Gx33000	-0.135	0.268	0.268
Gx67932	0.041	0.443	0.443
Gx46512	0.085	0.632	0.632
Gx65398	0.048	0.334	0.334
Gx41771	0.069	0.254	0.254
Gx66394	0.026	0.596	0.596
Gx30116	-0.682	0.00118	0.00118
Gx16424	-0.012	0.864	0.864
Gx75056	-0.561	0.233	0.233
Gx63131	-0.075	0.41	0.41
Gx87856	0.073	0.258	0.258
Gx47148	0.604	0.00816	0.00816
Gx96298	0.097	0.125	0.125
Gx55870	-0.119	0.546	0.546
Gx20604	-0.829	0.00243	0.00243
Gx27015	0.377	0.2	0.2
Gx95736	-0.016	0.768	0.768
Gx59035	-0.068	0.825	0.825
Gx15606	-0.202	0.0569	0.0569
Gx74842	0.125	0.0469	0.0469
Gx59349	-0.092	0.116	0.116
Gx19074	-0.005	0.94	0.94
Gx86258	-0.026	0.775	0.775
Gx70019	0.051	0.543	0.543
Gx54315	0.216	0.299	0.299
Gx20749	-0.066	0.591	0.591
Gx28845	0.123	0.042	0.042
Gx35987	0.1	0.14	0.14
Gx89115	0.061	0.605	0.605
Gx51143	0.093	0.792	0.792
Gx74435	-0.638	0.123	0.123
Gx89884	0.011	0.962	0.962
Gx35302	-0.064	0.364	0.364
Gx38433	-0.116	0.324	0.324
Gx87585	-0.027	0.618	0.618
Gx66187	-0.146	0.213	0.213
Gx46517	-0.014	0.804	0.804
Gx78534	-0.213	0.0109	0.0109
Gx20880	-0.092	0.116	0.116
Gx33616	-0.145	0.0384	0.0384
Gx27088	-0.45	0.18	0.18
Gx74575	-0.054	0.283	0.283
Gx91936	-0.241	0.307	0.307
Gx75470	-0.182	0.216	0.216
Gx21603	0.074	0.856	0.856
Gx66323	-0.076	0.641	0.641
Gx50777	-0.095	0.555	0.555
Gx97188	-0.086	0.41	0.41
Gx83989	-0.006	0.912	0.912
Gx33586	-0.061	0.653	0.653
Gx68895	-0.024	0.686	0.686
Gx51362	0.097	0.0936	0.0936
Hivra	2.654	5.45e-06	5.45e-06
Gx80558	0.019	0.895	0.895
Gx46002	0.128	0.111	0.111
Gx93938	-0.063	0.397	0.397
Gx86767	0.5	0.0344	0.0344
Gx57884	-0.071	0.327	0.327
Gx48022	-0.033	0.684	0.684
Gx71823	0.675	0.319	0.319
Gx22332	0.212	0.767	0.767
Gx50431	0.204	0.066	0.066
Gx31688	0.494	0.475	0.475
Gx68480	0.297	0.469	0.469
Gx54955	-0.137	0.52	0.52
Gx71684	0.026	0.704	0.704
Gx10382	-0.084	0.288	0.288
Gx15999	-0.099	0.779	0.779
Gx45918	-0.226	0.0459	0.0459
Gx75940	-0.184	0.374	0.374
Gx23264	-0.184	0.0447	0.0447
Gx83112	-0.012	0.837	0.837
Gx84659	0.187	0.32	0.32
Gx51607	0.006	0.898	0.898
Gx30644	-0.045	0.457	0.457
Gx24845	-0.055	0.783	0.783
Gx63634	0.012	0.828	0.828
Gx49458	-0.681	0.169	0.169
Gx98887	-0.511	0.222	0.222
Gx45677	-0.175	0.663	0.663
Gx96607	-0.028	0.713	0.713
Gx89449	0.232	0.204	0.204
Gx27197	0.175	0.415	0.415
Gx31781	0.036	0.757	0.757
Gx48224	0.008	0.867	0.867
Gx58966	-0.198	0.196	0.196
Gx86414	0.207	0.0918	0.0918
Gx39903	0.031	0.764	0.764
Gx85984	0.068	0.449	0.449
Gx87653	-0.024	0.647	0.647
Gx56445	-0.011	0.99	0.99
Gx27314	0.274	0.515	0.515
Gx12807	-0.194	0.7	0.7
Gx83707	0.042	0.786	0.786
Gx13453	-0.378	0.202	0.202
Gx85696	-0.086	0.292	0.292
Gx95996	0.241	0.282	0.282
Gx39084	-0.064	0.672	0.672
Gx25995	-0.258	0.275	0.275
Gx31686	-0.11	0.0633	0.0633
Gx17999	-0.145	0.0534	0.0534
Gx54317	-0.047	0.46	0.46
Gx88519	0.014	0.955	0.955
Gx70494	-0.051	0.351	0.351
Gx81531	0.151	0.323	0.323
Gx17086	-0.108	0.0752	0.0752
Gx22716	0.879	0.277	0.277
Gx81466	0.059	0.368	0.368
Gx96818	0.109	0.602	0.602
Gx58556	1.195	0.011	0.011
Gx73475	0.167	0.559	0.559
Gx67523	-0.118	0.495	0.495
Gx59209	-0.032	0.664	0.664
Gx79346	0.076	0.132	0.132
Gx89527	0.068	0.343	0.343
Gx46001	-0.081	0.391	0.391
Gx20765	-0.22	0.097	0.097
Gx96354	-0.079	0.396	0.396
Gx50720	-0.041	0.533	0.533
Gx84258	0.178	0.0899	0.0899
Gx75369	0.102	0.263	0.263
Gx59990	-0.008	0.973	0.973
Gx48868	-1.061	0.00957	0.00957
Gx24774	-0.064	0.767	0.767
Gx31387	0.064	0.734	0.734
Gx27194	0.009	0.918	0.918
Gx64053	0.13	0.052	0.052
Gx95582	0.101	0.129	0.129
Gx73639	0.005	0.918	0.918
Gx64723	-0.028	0.654	0.654
Gx19579	-0.195	0.119	0.119
Gx84968	0.241	0.00413	0.00413
Gx34325	-1.249	0.0123	0.0123
Gx64964	-0.177	0.115	0.115
Gx33664	-0.001	0.993	0.993
Gx55197	0.06	0.363	0.363
Gx55158	-0.081	0.276	0.276
Gx71723	-0.028	0.829	0.829
Gx55141	-0.03	0.539	0.539
Gx65120	-0.059	0.888	0.888
Gx45048	-0.071	0.417	0.417
Gx65540	-0.027	0.71	0.71
Gx83007	0.02	0.876	0.876
Gx23944	-0.033	0.689	0.689
Gx88479	-0.025	0.624	0.624
Gx98813	0.039	0.504	0.504
Gx90243	0.144	0.268	0.268
Gx92809	0.115	0.0853	0.0853
Gx14894	0.078	0.17	0.17
Gx15491	-0.033	0.698	0.698
Gx27268	-0.332	0.119	0.119
Gx15160	-0.09	0.328	0.328
Gx24869	0.176	0.0381	0.0381
Gx71039	-0.034	0.884	0.884
Gx43396	-0.09	0.337	0.337
Gx78923	0.046	0.819	0.819
Gx90914	0.084	0.496	0.496
Gx30423	1.096	0.0223	0.0223
Gx69171	0.14	0.0473	0.0473
Gx42852	-0.078	0.126	0.126
Gx68229	-0.006	0.939	0.939
Gx93876	-0.05	0.355	0.355
Gx61043	-0.763	0.0495	0.0495
Gx80270	1.303	0.0883	0.0883
Gx99915	0.432	0.226	0.226
Gx36994	0.031	0.686	0.686
Gx88304	0.183	0.755	0.755
Gx96012	0.021	0.818	0.818
Gx78187	0.018	0.769	0.769
Gx21469	-0.034	0.832	0.832
Gx65638	0.04	0.495	0.495
Gx65957	0.036	0.669	0.669
Gx58712	0.102	0.383	0.383
Gx39191	0.017	0.855	0.855
Gx71358	0.042	0.515	0.515
Gx88146	0.118	0.483	0.483
Gx35770	-0.102	0.455	0.455
Gx88254	0.005	0.954	0.954
Gx60879	-0.055	0.553	0.553
Gx48530	-0.023	0.897	0.897
Gx34775	-0.018	0.8	0.8
Gx86750	0.031	0.543	0.543
Gx53967	0.062	0.339	0.339
Gx86297	0.031	0.813	0.813
Gx12785	-0.128	0.297	0.297
Gx39235	0.122	0.443	0.443
Gx10104	0.079	0.201	0.201
Gx81729	0.059	0.262	0.262
Gx57320	0.089	0.173	0.173
Gx87467	-0.091	0.445	0.445
Gx17199	0.348	0.41	0.41
Gx63109	0.068	0.276	0.276
Gx30917	-0.121	0.346	0.346
Gx90018	0.061	0.211	0.211
Gx61615	0.073	0.476	0.476
Gx38236	-0.046	0.708	0.708
Gx38297	-0.012	0.961	0.961
Gx88383	0.129	0.266	0.266
Gx98587	-1.183	0.131	0.131
Gx16560	-0.514	0.00588	0.00588
Gx89252	-0.166	0.042	0.042
Gx80948	-0.237	0.104	0.104
Gx38672	0.13	0.209	0.209
Gx23284	0.247	0.0762	0.0762
Gx38615	-0.043	0.806	0.806
Gx12365	-0.073	0.405	0.405
Gx83142	0.077	0.265	0.265
Gx50129	-0.054	0.342	0.342
Gx66890	-0.013	0.907	0.907
Gx29520	-1.351	0.0214	0.0214
Gx16793	-0.02	0.965	0.965
Gx68416	-1.068	0.217	0.217
Gx44587	-0.132	0.326	0.326
Gx26107	-0.14	0.272	0.272
Gx78282	-0.126	0.116	0.116
Gx83120	0.341	0.00151	0.00151
Gx58781	-0.036	0.468	0.468
Gx54496	0.156	0.222	0.222
Gx96814	0.07	0.258	0.258
Gx34812	0.134	0.0364	0.0364
Gx76115	-0.084	0.272	0.272
Gx59630	0.025	0.754	0.754
Gx78087	0.074	0.315	0.315
Gx48115	0.149	0.577	0.577
Gx63849	-0.017	0.713	0.713
Gx14350	-0.013	0.884	0.884
Gx66637	-0.066	0.219	0.219
Gx65178	-0.014	0.829	0.829
Gx59159	0.045	0.689	0.689
Gx68661	0.149	0.114	0.114
Gx53036	0.025	0.625	0.625
Gx61965	-0.354	0.0316	0.0316
Gx99857	0	0.999	0.999
Gx63643	-0.062	0.274	0.274
Gx78462	-0.469	0.0633	0.0633
Gx46328	-0.256	0.278	0.278
Gx29673	0.192	0.285	0.285
Gx72327	-1.017	0.0887	0.0887
Gx80412	0.121	0.112	0.112
Gx81574	0.068	0.314	0.314
Gx40478	-0.035	0.552	0.552
Gx91928	-0.019	0.798	0.798
Gx53465	-0.295	0.606	0.606
Gx79422	0.184	0.393	0.393
Gx81154	-0.156	0.247	0.247
Gx27872	-0.238	0.28	0.28
Gx31572	-0.046	0.671	0.671
Gx35517	0.312	0.0606	0.0606
Gx22073	0.089	0.603	0.603
Gx75943	-0.234	0.122	0.122
Gx88343	-0.034	0.732	0.732
Gx52001	0.13	0.0509	0.0509
Gx43967	0.164	0.303	0.303
Gx85837	-0.013	0.87	0.87
Gx88767	0.022	0.781	0.781
Gx52182	0.018	0.961	0.961
Gx20112	0.069	0.75	0.75
Gx53982	0.036	0.517	0.517
Gx20085	0.016	0.779	0.779
Gx73493	-0.038	0.586	0.586
Gx84034	-0.006	0.94	0.94
Gx27686	-0.357	0.101	0.101
Gx30554	0.076	0.169	0.169
Gx54420	0.053	0.288	0.288
Gx75914	-0.083	0.485	0.485
Gx28138	0.049	0.591	0.591
Gx45390	0.092	0.108	0.108
Gx32036	-0.061	0.318	0.318
Gx59859	0.068	0.475	0.475
Gx19084	0.032	0.621	0.621
Gx46756	-0.412	0.0438	0.0438
Gx29025	0.52	0.506	0.506
Gx74680	-0.025	0.622	0.622
Gx24530	0.049	0.736	0.736
Gx98814	0.366	0.267	0.267
Gx60598	-0.043	0.542	0.542
Gx62741	-0.331	0.03	0.03
Gx61156	-0.024	0.775	0.775
Gx13486	-0.034	0.793	0.793
Gx34750	0.076	0.234	0.234
Gx23930	0.93	0.0879	0.0879
Gx18680	-0.143	0.048	0.048
Gx72171	-0.079	0.228	0.228
Gx93042	0.122	0.141	0.141
Gx26041	0.14	0.669	0.669
Gx71308	-0.293	0.195	0.195
Gx65670	-0.038	0.681	0.681
Gx25815	0.281	0.43	0.43
Gx43336	0.058	0.405	0.405
Gx39247	0.188	0.0838	0.0838
Gx61445	-0.168	0.0655	0.0655
Gx35322	0.167	0.348	0.348
Gx90053	0.217	0.492	0.492
Gx59768	0.101	0.316	0.316
Gx73395	0.065	0.329	0.329
Gx81870	-0.176	0.193	0.193
Gx98855	-0.021	0.841	0.841
Gx59204	-0.074	0.643	0.643
Gx75609	-0.114	0.381	0.381
Gx10667	0.106	0.198	0.198
Gx17339	-0.077	0.741	0.741
Gx36617	0.366	0.504	0.504
Gx97260	-0.56	0.0568	0.0568
Gx57681	-0.182	0.359	0.359
Gx18542	0.087	0.447	0.447
Gx35216	0.082	0.793	0.793
Gx78750	0.012	0.855	0.855
Gx39353	-0.097	0.19	0.19
Gx34395	0.174	0.11	0.11
Gx14652	-0.004	0.928	0.928
Gx40507	-0.004	0.95	0.95
Gx50648	-0.348	0.407	0.407
Gx56267	-0.014	0.925	0.925
Gx72281	-0.006	0.926	0.926
Gx44637	0.409	0.032	0.032
Gx22027	-0.008	0.859	0.859
Gx62963	-0.13	0.0714	0.0714
Gx35163	0.173	0.425	0.425
Gx98881	0.048	0.703	0.703
Gx48491	-0.22	0.63	0.63
Gx29138	-0.017	0.741	0.741
Gx44293	0.21	0.104	0.104
Gx17084	0.117	0.0903	0.0903
Gx24003	-0.074	0.673	0.673
Gx12174	0.272	0.275	0.275
Gx39210	-0.003	0.981	0.981
Gx62786	0.016	0.736	0.736
Gx63126	-0.091	0.793	0.793
Gx67706	-0.133	0.742	0.742
Gx36904	0.023	0.645	0.645
Gx86583	-0.036	0.583	0.583
Gx79450	-0.01	0.888	0.888
Gx40741	1.678	0.132	0.132
Gx69003	0.093	0.332	0.332
Gx90377	0.07	0.365	0.365
Gx93305	-0.039	0.479	0.479
Gx71460	0.321	0.401	0.401
Gx67846	0.009	0.992	0.992
Gx46568	-0.014	0.926	0.926
Gx41925	0.089	0.253	0.253
Gx16686	0.07	0.258	0.258
Gx60958	0.019	0.928	0.928
Gx17034	-2.13	0.111	0.111
Gx71813	0.078	0.44	0.44
Gx68574	0.005	0.917	0.917
Gx31003	-0.022	0.764	0.764
Gx42622	-0.028	0.787	0.787
Gx20220	-0.003	0.976	0.976
Gx78685	-0.008	0.886	0.886
Gx80895	0.032	0.732	0.732
Gx28333	-0.03	0.607	0.607
Gx75486	0.044	0.418	0.418
Gx92583	0.15	0.05	0.05
Gx34478	0.241	0.102	0.102
Gx53193	0.661	0.144	0.144
Gx49323	0.041	0.665	0.665
Gx97853	-0.018	0.785	0.785
Gx27491	0.058	0.664	0.664
Gx84972	-0.017	0.817	0.817
Gx41457	0.029	0.727	0.727
Gx24294	-0.362	0.0192	0.0192
Gx66352	-0.093	0.259	0.259
Gx67633	0.026	0.949	0.949
Gx43051	-0.212	0.331	0.331
Gx12500	-0.705	0.423	0.423
Gx86333	-0.023	0.673	0.673
Gx96377	0.05	0.572	0.572
Gx71451	-0.08	0.75	0.75
Gx20177	-0.062	0.443	0.443
Gx43624	-0.152	0.0874	0.0874
Gx76452	0.073	0.422	0.422
Gx26383	-0.04	0.848	0.848
Gx49698	-0.042	0.474	0.474
Gx48317	0.003	0.948	0.948
Gx71597	-0.147	0.184	0.184
Gx31160	-0.164	0.143	0.143
Gx82008	0.071	0.414	0.414
Gx57554	0.013	0.817	0.817
Gx15769	0.083	0.542	0.542
Gx26746	-0.44	0.139	0.139
Gx43162	-0.047	0.505	0.505
Gx84903	0.002	0.972	0.972
Gx41006	-0.201	0.0216	0.0216
Gx34085	0.05	0.839	0.839
Gx21735	-0.26	0.381	0.381
Gx99127	0.359	0.313	0.313
Gx56969	-0.036	0.521	0.521
Gx72645	-0.141	0.257	0.257
Gx15121	-0.234	0.0879	0.0879
Gx62736	-0.108	0.22	0.22
Gx98315	-0.934	0.123	0.123
Gx97354	-0.156	0.389	0.389
Gx29037	0.067	0.646	0.646
Gx38537	-0.068	0.179	0.179
Gx50634	0.058	0.652	0.652
Gx86969	0.13	0.499	0.499
Gx51336	0.02	0.72	0.72
Gx71708	-0.82	0.00154	0.00154
Gx70175	0.036	0.678	0.678
Gx84964	0.136	0.535	0.535
Gx25845	0.093	0.186	0.186
Gx53492	-0.273	0.205	0.205
Gx10621	-0.004	0.951	0.951
Gx94023	-0.026	0.909	0.909
Gx32369	0.014	0.879	0.879
Gx61826	-0.058	0.287	0.287
Gx64378	0.379	0.00207	0.00207
Gx99445	0.136	0.0609	0.0609
Gx49365	-0.056	0.352	0.352
Gx38497	0.015	0.828	0.828
Gx42385	-0.066	0.29	0.29
Gx78595	-0.222	0.224	0.224
Gx57749	0.013	0.988	0.988
Gx52659	0.348	0.0593	0.0593
Gx60507	0.154	0.13	0.13
Gx68856	0.092	0.763	0.763
Gx59696	0.089	0.425	0.425
Gx77614	-0.075	0.421	0.421
Gx21079	-0.332	0.0313	0.0313
Gx63688	-0.014	0.96	0.96
Gx22255	-0.052	0.284	0.284
Gx96842	0.132	0.0629	0.0629
Gx63112	0.03	0.527	0.527
Gx52423	-0.065	0.21	0.21
Gx54047	-0.383	0.0445	0.0445
Gx69276	0.316	0.044	0.044
Gx81898	0.021	0.695	0.695
Gx22735	-0.046	0.649	0.649
Gx35197	0.082	0.489	0.489
Gx37852	-0.284	0.232	0.232
Gx52042	-0.079	0.517	0.517
Gx63288	0.103	0.073	0.073
Gx55049	-0.023	0.702	0.702
Gx34075	0.011	0.859	0.859
Gx73347	-0.091	0.636	0.636
Gx75425	0.177	0.292	0.292
Gx68275	-0.025	0.886	0.886
Gx92059	0.006	0.93	0.93
Gx34476	-0.084	0.142	0.142
Gx60768	-0.049	0.528	0.528
Gx97906	0.035	0.646	0.646
Gx97673	-0.279	0.306	0.306
Gx32829	-0.026	0.603	0.603
Gx81325	-0.102	0.407	0.407
Gx42231	-0.156	0.0413	0.0413
Gx60396	-0.029	0.64	0.64
Gx89079	0.059	0.282	0.282
Gx29861	0.918	0.0119	0.0119
Gx58107	0.452	0.00896	0.00896
Gx62167	-0.049	0.652	0.652
Gx66626	-0.219	0.0656	0.0656
Gx82106	-0.249	0.117	0.117
Gx62064	0.01	0.95	0.95
Gx72957	-0.007	0.928	0.928
Gx40745	-0.01	0.89	0.89
Gx95861	0.125	0.669	0.669
Gx12716	-0.161	0.129	0.129
Gx90939	0.085	0.547	0.547
Gx98644	0.048	0.383	0.383
Gx89312	0.007	0.96	0.96
Gx21878	0.015	0.892	0.892
Gx79672	-0.126	0.143	0.143
Gx44027	-0.05	0.675	0.675
Gx78726	0.04	0.668	0.668
Gx39578	-0.175	0.19	0.19
Gx11036	-0.063	0.233	0.233
Gx34407	-0.038	0.46	0.46
Gx95797	0.216	0.37	0.37
Gx68071	0.035	0.571	0.571
Gx14876	-0.968	0.0222	0.0222
Gx92087	-0.132	0.0618	0.0618
Gx30627	-0.157	0.398	0.398
Gx87042	-0.137	0.436	0.436
Gx95144	-0.054	0.777	0.777
Gx49145	0.037	0.635	0.635
Gx18859	0.088	0.199	0.199
Gx68505	-0.056	0.41	0.41
Gx31137	0.121	0.163	0.163
Gx81345	-0.009	0.855	0.855
Gx82787	0.134	0.243	0.243
Gx16108	-0.058	0.547	0.547
Gx23440	-0.011	0.841	0.841
Gx48174	0.004	0.938	0.938
Gx84372	0.049	0.407	0.407
Gx98324	-0.83	0.142	0.142
Gx89198	-0.109	0.0643	0.0643
Gx11431	-0.029	0.738	0.738
Gx35436	0.044	0.396	0.396
Gx90774	0.056	0.427	0.427
Gx75043	0.004	0.957	0.957
Gx12877	-0.185	0.0722	0.0722
Gx21822	-0.108	0.489	0.489
Gx29875	-0.372	0.00081	0.00081
Gx86067	0.067	0.333	0.333
Gx63589	0.084	0.63	0.63
Gx89966	0.04	0.792	0.792
Gx78721	-0.051	0.749	0.749
Gx78878	-0.029	0.807	0.807
Gx21600	-0.15	0.372	0.372
Gx70000	-0.01	0.893	0.893
Gx22194	0.038	0.936	0.936
Gx90196	0.052	0.648	0.648
Gx13227	-0.292	0.0913	0.0913
Gx73699	0.142	0.0611	0.0611
Gx21223	0.111	0.166	0.166
Gx38563	0.057	0.37	0.37
Gx77392	0.153	0.552	0.552
Gx41808	0.027	0.643	0.643
Gx55427	-0.109	0.0963	0.0963
Gx46770	-0.037	0.706	0.706
Gx93400	0.154	0.0978	0.0978
Gx47654	-0.008	0.878	0.878
Gx73494	0.065	0.484	0.484
Gx41076	0.024	0.87	0.87
Gx79899	0.078	0.352	0.352
Gx72886	0	1	1
Gx98260	0.035	0.619	0.619
Gx46558	-0.142	0.464	0.464
Gx25181	-0.097	0.221	0.221
Gx11581	-0.058	0.451	0.451
Gx30960	-0.07	0.595	0.595
Gx21976	-0.01	0.856	0.856
Gx70487	-0.726	0.0557	0.0557
Gx44237	0.014	0.919	0.919
Gx14487	-0.155	0.237	0.237
Gx78061	-0.065	0.457	0.457
Gx78725	0.167	0.0216	0.0216
Gx47168	0.074	0.23	0.23
Gx18371	-0.027	0.731	0.731
Gx17346	-0.037	0.64	0.64
Gx42746	0.125	0.502	0.502
Gx55403	-0.255	0.347	0.347
Gx71389	0.555	0.194	0.194
Gx53748	-0.125	0.684	0.684
Gx65318	0.055	0.882	0.882
Gx21356	-0.16	0.0545	0.0545
Gx98169	-0.091	0.214	0.214
Gx64595	0.077	0.226	0.226
Gx46699	-0.092	0.616	0.616
Gx28528	0.207	0.0252	0.0252
Gx86724	0.012	0.818	0.818
Gx14434	0.025	0.782	0.782
Gx27828	-0.002	0.986	0.986
Gx58512	0.445	0.0852	0.0852
Gx62282	-0.093	0.276	0.276
Gx12533	-0.195	0.0588	0.0588
Gx93664	0.109	0.452	0.452
Gx52176	-0.008	0.963	0.963
Gx14972	0.036	0.88	0.88
Gx25667	-0.09	0.174	0.174
Gx36679	0.296	0.658	0.658
Gx66628	-0.158	0.314	0.314
Gx72353	0.011	0.806	0.806
Gx73483	-0.129	0.256	0.256
Gx58827	-0.103	0.272	0.272
Gx66033	-0.038	0.489	0.489
Gx68911	-0.016	0.927	0.927
Gx15217	0.077	0.167	0.167
Gx25355	-0.041	0.817	0.817
Gx85702	-0.038	0.57	0.57
Gx40746	0.115	0.462	0.462
Gx51915	0.046	0.754	0.754
Gx34454	-0.019	0.905	0.905
Gx16030	0.023	0.895	0.895
Gx58481	-0.03	0.604	0.604
Gx68132	-0.396	0.0113	0.0113
Gx17005	0.024	0.954	0.954
Gx22606	0.043	0.677	0.677
Gx58892	0.01	0.846	0.846
Gx68252	0.019	0.725	0.725
Gx53291	-0.15	0.174	0.174
Gx54552	0.016	0.739	0.739
Gx89690	0.156	0.127	0.127
Gx63187	-0.034	0.508	0.508
